,"NORMALIZED TO OC, WEIGHTED BY EMISSION RATE",,,,,,,,,,,,,,,,,,,,,,,MG/MG OC ALL,,,,,,,,,,,,,,,,,,,,
UNC,0.041348808,0.04034278,0.089923939,0,0.002384113,0,0,0,0,0.021501945,0.086899965,0.012051773,0.028970006,0,0,0,2.272574915,0.010152294,0.033436311,0.120324988,0,,UNC,2.5815E-05,2.87832E-05,4.8817E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,1.53259E-05,4.61039E-05,9.84108E-06,1.76644E-05,0.00000001,0.00000001,0.00000001,0.000893498,0.00000001,0.00000001,2.31765E-05,0.00000001
ABIETA-PENTAE-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ABIETA-PENTAE-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
ABIETA-TETRAEN-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ABIETA-TETRAEN-18-OIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
DOCOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DOCOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
7-OXODEHYDROABIETIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7-OXODEHYDROABIETIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
TRICOSANOIC ACID,0.248342104,0.133773993,0.198792593,0,0.011856448,0,0,0,0,0.075790974,0.460544663,0.029061738,0.074389834,0.036359634,0,0,3.469571103,0.034241594,0.094132679,0.578906549,0,,TRICOSANOIC ACID,0.000248342,0.000133774,0.000198793,0,1.18564E-05,0,0,0,0,7.5791E-05,0.000460545,2.90617E-05,7.43898E-05,3.63596E-05,0,0,0.003469571,3.42416E-05,9.41327E-05,0.000578907,0
UNC,0.056434148,0.038644616,0.075368405,0,0.003194723,0,0,0,0,0.020649708,0.1170311,0.033670392,0.024791316,0.019664078,0,0,1.860600084,0.010784468,0.04263641,0.196651952,0,,UNC,4.96684E-05,2.67548E-05,3.97585E-05,0.00000001,2.37131E-06,0.00000001,0.00000001,0.00000001,0.00000001,1.51582E-05,9.21089E-05,5.81236E-06,1.4878E-05,7.27193E-06,0.00000001,0.00000001,0.000693914,6.84833E-06,1.88265E-05,0.000115781,0.00000001
TETRACOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TETRACOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
PENTACOSANOIC ACID,0.323419574,0.1350537,0.242352444,0,0.019222846,0,0,0,0,0.079306545,0.639241913,0.035021434,0.091748961,0.003651297,0,0,4.082905069,0.067883672,0.127528379,0.842688687,0,,PENTACOSANOIC ACID,0.00032342,0.000135054,0.000242352,0,1.92228E-05,0,0,0,0,7.93065E-05,0.000639242,3.50214E-05,9.1749E-05,3.6513E-06,0,0,0.004082905,6.78837E-05,0.000127528,0.000842689,0
UNC,0.089911604,0.057804412,0.105936493,0,0.004939062,0,0,0,0,0.030874813,0.184602658,0.053421689,0.035634545,0.001347797,0,0,2.493812315,0.019418117,0.0633071,0.315358683,0,,UNC,6.46839E-05,2.70107E-05,4.84705E-05,0.00000001,3.84458E-06,0.00000001,0.00000001,0.00000001,0.00000001,1.58613E-05,0.000127848,7.00429E-06,1.83498E-05,7.30328E-07,0.00000001,0.00000001,0.000816581,1.35767E-05,2.55057E-05,0.000168538,0.00000001
HEXACOSANOIC ACID,0.378780963,0.155930825,0.271734134,0,0.018801867,0,0,0,0,0.090260806,0.744176133,0.03529345,0.103621149,0,0,0,4.713716448,0.078802032,0.148565982,0.991872965,0,,HEXACOSANOIC ACID,0.000378781,0.000155931,0.000271734,0,1.88019E-05,0,0,0,0,9.02608E-05,0.000744176,3.52935E-05,0.000103621,0,0,0,0.004713716,7.8802E-05,0.000148566,0.000991873,0
UNC,0.103310466,0.064920953,0.119018015,0,0.005408279,0,0,0,0,0.034669048,0.2124143,0.046951182,0.040127934,0,0,0,2.838874306,0.022138555,0.072208329,0.364510576,0,,UNC,7.57562E-05,3.11862E-05,5.43468E-05,0.00000001,3.76039E-06,0.00000001,0.00000001,0.00000001,0.00000001,1.80522E-05,0.000148835,7.0587E-06,2.07242E-05,0.00000001,0.00000001,0.00000001,0.000942743,1.57604E-05,2.97132E-05,0.000198375,0.00000001
HEPTACOSANOIC ACID,0.35519276,0.176525121,0.134184572,0,0.017185819,0,0,0,0,0.100604676,0.586612216,0.017486158,0.05529535,0,0,0,5.356506826,0.072935826,0.138668023,0.871672879,0,,HEPTACOSANOIC ACID,0.000355193,0.000176525,0.000134185,0,1.71858E-05,0,0,0,0,0.000100605,0.000586612,1.74862E-05,5.52954E-05,0,0,0,0.005356507,7.29358E-05,0.000138668,0.000871673,0
UNC,0.085555748,0.070248175,0.1114717,0.094505332,0.049008235,0.100813447,0,0.142040561,0.093339443,0.043313398,0.16441028,0.050117257,0.050726969,0.042165865,0.079482087,0.21418624,2.797941502,0.01948951,0.062055812,0.286117404,0,,UNC,7.10386E-05,3.5305E-05,2.68369E-05,0.00000001,3.43718E-06,0.00000001,0.00000001,0.00000001,0.00000001,2.01209E-05,0.000117322,3.49725E-06,1.10591E-05,0.00000001,0.00000001,0.00000001,0.001071301,1.45872E-05,2.77336E-05,0.000174335,0.00000001
OCTACOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OCTACOSANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
NONACOSANOIC ACID,0.276825399,0,0,0,0.00935909,0,0,0,0,0.003600855,0.567731937,0,0,0,0,0,0,0.04037481,0,1.025764895,0,,NONACOSANOIC ACID,0.000276825,0,0,0,9.35909E-06,0,0,0,0,3.60086E-06,0.000567732,0,0,0,0,0,0,4.03748E-05,0,0.001025765,0
UNC,0.077450202,0,0,0,0.002698359,0,0,0,0,0.001009175,0.162618098,0,0,0,0,0,0,0.011260161,0,0.308994689,0,,UNC,5.53651E-05,0.00000001,0.00000001,0.00000001,1.87184E-06,0.00000001,0.00000001,0.00000001,0.00000001,7.2024E-07,0.000113546,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,8.07497E-06,0.00000001,0.000205153,0.00000001
TRIACONTANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TRIACONTANOIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
1H-PHENALEN-1-ONE,0.390967223,0.461840687,0.045896148,0.070727533,0.11939395,0.030072883,0.029408852,0.022529233,0.043514308,0.2988808,0.218442271,0.031442923,0.140223174,0.160105766,0.518708242,0.348440118,0,1.560669478,0.188182929,0,0.029408852,,1H-PHENALEN-1-ONE,0.000390967,0.000461841,4.58961E-05,7.07275E-05,0.000119394,3.00729E-05,2.94089E-05,2.25292E-05,4.35143E-05,0.000298881,0.000218442,3.14429E-05,0.000140223,0.000160106,0.000518708,0.00034844,0,0.001560669,0.000188183,0,2.94089E-05
UNC,0.033352856,0.042225541,0.00749636,0.013563871,0.012851272,0.006721829,0.023935134,0.00676818,0.008779815,0.024185936,0.039574727,0.007256863,0.021201391,0.018006458,0.087110592,0.091891648,0,0.175180795,0.033405466,0,0.023935134,,UNC,7.81934E-05,9.23681E-05,9.17924E-06,1.41455E-05,2.38788E-05,6.01458E-06,5.88178E-06,4.50586E-06,8.70287E-06,5.97762E-05,4.36885E-05,6.28859E-06,2.80446E-05,3.20212E-05,0.000103742,6.9688E-05,0.00000001,0.000312134,3.76366E-05,0.00000001,5.88178E-06
ANTHROQUINONE,0.085187019,0.13830949,0.026544415,0.040905851,0.044550769,0.025084096,0.009355771,0,0,0.102262638,0,0.02855289,0.001719438,0.149226592,0.223701277,0,0,0.204019417,0.106268007,0,0.009355771,,ANTHROQUINONE,8.5187E-05,0.000138309,2.65444E-05,4.09059E-05,4.45508E-05,2.50841E-05,9.35577E-06,0,0,0.000102263,0,2.85529E-05,1.71944E-06,0.000149227,0.000223701,0,0,0.000204019,0.000106268,0,9.35577E-06
UNC,0.008639097,0.014201331,0.005354894,0.009219423,0.004771022,0.006000736,0.021505547,0.002926896,0.001923358,0.008491917,0,0.006102696,0.000942749,0.015714773,0.038976527,0.004413535,0.010255129,0.026061875,0.018864263,0,0.021505547,,UNC,1.70374E-05,2.76619E-05,5.30889E-06,8.18118E-06,8.91016E-06,5.01683E-06,1.87118E-06,0.00000001,0.00000001,2.04525E-05,0.00000001,5.71059E-06,3.44033E-07,2.98453E-05,4.47403E-05,0.00000001,0.00000001,4.08039E-05,2.12536E-05,0.00000001,1.87118E-06
METHYL FLUORANTHENE (METHYL MW 202 PAH),0.225363801,0.277062582,0.126991189,0.109429559,0.053925091,0.035613877,0,0,0.095584944,0.174718811,0.146066857,0.016498299,0.115872374,0.109967749,0.22263052,0.377499096,0.547780515,0.322001617,0.09987329,0.146449836,0,,METHYL FLUORANTHENE (METHYL MW 202 PAH),0.000225364,0.000277063,0.000126991,0.00010943,5.39251E-05,3.56139E-05,0,0,9.55849E-05,0.000174719,0.000146067,1.64983E-05,0.000115872,0.000109968,0.000222631,0.000377499,0.000547781,0.000322002,9.98733E-05,0.00014645,0
UNC,0.014708894,0.019610935,0.017123754,0.020572336,0.006658261,0.008603102,0.027756995,0.008178093,0.01787622,0.0114602,0.016653966,0.004590019,0.010393973,0.01269122,0.031579041,0.095314553,0.24844745,0.031712683,0.015702761,0.024733775,0.027756995,,UNC,4.50728E-05,5.54125E-05,2.53982E-05,2.18859E-05,1.0785E-05,7.12278E-06,0.00000001,0.00000001,1.9117E-05,3.49438E-05,2.92134E-05,3.29968E-06,2.31745E-05,2.19936E-05,4.45261E-05,7.54998E-05,0.000109556,6.44003E-05,1.99747E-05,2.929E-05,0.00000001
RETENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,RETENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
BENZO(GHI)FLUORANTHENE,2.950588698,4.632076906,1.441048275,2.069079454,0.975332331,1.034975392,0.413641382,0.352105415,3.233862246,2.724280178,0.259698749,0.283575215,1.788430434,2.458657882,2.806226721,9.096174244,13.02480292,0.70357997,0.379008175,0.280275427,0.413641382,,BENZO(GHI)FLUORANTHENE,0.002950589,0.004632077,0.001441048,0.002069079,0.000975332,0.001034975,0.000413641,0.000352105,0.003233862,0.00272428,0.000259699,0.000283575,0.00178843,0.002458658,0.002806227,0.009096174,0.013024803,0.00070358,0.000379008,0.000280275,0.000413641
UNC,0.216473992,0.353777208,0.239608077,0.41252959,0.145419085,0.257417286,0.16531226,0.266714205,0.527832343,0.197138253,0.044281394,0.106659005,0.178427397,0.257131148,0.469498191,2.317043672,5.943903268,0.070899905,0.061725295,0.069787767,0.16531226,,UNC,0.000590118,0.000926415,0.00028821,0.000413816,0.000195066,0.000206995,8.27283E-05,7.04211E-05,0.000646772,0.000544856,5.19398E-05,5.6715E-05,0.000357686,0.000491732,0.000561245,0.001819235,0.002604961,0.000140716,7.58016E-05,5.60551E-05,8.27283E-05
CYCLOPENTA(CD)PYRENE,0.092413569,0.150042504,0,0,0.03686814,0,0.180067816,0,0,0.089064979,0,0.033810433,0.001974255,0.005092617,0.458544346,0,0,0.182376983,0.132835009,0,0.180067816,,CYCLOPENTA(CD)PYRENE,9.24136E-05,0.000150043,0,0,3.68681E-05,0,0.000180068,0,0,8.9065E-05,0,3.38104E-05,1.97426E-06,5.09262E-06,0.000458544,0,0,0.000182377,0.000132835,0,0.000180068
UNC,0.017930312,0.029211249,0,0,0.005586434,0,0.037016965,0,0,0.01574351,0,0.008127826,0.000494598,0.001275076,0.108153719,0,0,0.028231144,0.033397348,0,0.037016965,,UNC,1.84827E-05,3.00085E-05,0.00000001,0.00000001,7.37363E-06,0.00000001,3.60136E-05,0.00000001,0.00000001,1.7813E-05,0.00000001,6.76209E-06,3.94978E-07,1.01857E-06,9.17089E-05,0.00000001,0.00000001,3.64754E-05,2.6567E-05,0.00000001,3.60136E-05
BENZ(DE)ANTHRACEN-7-ONE,0.051093109,0.08295468,0.017816467,0.027455785,0.021921526,0.015356366,0.024497778,0,0,0.05950763,0,0.003704331,0,0.07893722,0.184718422,0,0,0.061989857,0.085235797,0,0.024497778,,BENZ(DE)ANTHRACEN-7-ONE,5.10931E-05,8.29547E-05,1.78165E-05,2.74558E-05,2.19215E-05,1.53564E-05,2.44978E-05,0,0,5.95076E-05,0,3.70433E-06,0,7.89372E-05,0.000184718,0,0,6.19899E-05,8.52358E-05,0,2.44978E-05
UNC,0.00524523,0.008619793,0.003122186,0.005546482,0.002312749,0.003169788,0.003080419,0,0,0.005072555,0,0.000836237,0,0.007954614,0.028834802,0,0,0.006762457,0.013248314,0,0.003080419,,UNC,1.02186E-05,1.65909E-05,3.56331E-06,5.49117E-06,4.38432E-06,3.07129E-06,4.89957E-06,0.00000001,0.00000001,1.19015E-05,0.00000001,7.40934E-07,0.00000001,1.57874E-05,3.69437E-05,0.00000001,0.00000001,1.2398E-05,1.70472E-05,0.00000001,4.89957E-06
METHYL MW 226 PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,METHYL MW 226 PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
"BENZ(A)ANTHRACENE-7,12-DIONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"BENZ(A)ANTHRACENE-7,12-DIONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
METHYL CHRYSENE (METHYL MW 228 PAH),0.00105343,0.001710348,0,0,0.000300973,0,0,0,0,0.001026489,0,0.001795572,0.000145826,0.001552288,0,0,0,0.004602466,0,0,0,,METHYL CHRYSENE (METHYL MW 228 PAH),1.05343E-06,1.71035E-06,0,0,3.00973E-07,0,0,0,0,1.02649E-06,0,1.79557E-06,1.45826E-07,1.55229E-06,0,0,0,4.60247E-06,0,0,0
UNC,0.000197713,0.00032218,0,0,7.4141E-05,0,0.0002419,0,0,0.000175055,0,0.000565001,3.8542E-05,0.000390767,9.0896E-05,0,0,0.001254133,0,0,0.0002419,,UNC,2.10923E-07,3.42216E-07,0.00000001,0.00000001,6.10195E-08,0.00000001,0.00000001,0.00000001,0.00000001,2.05541E-07,0.00000001,3.59254E-07,3.08319E-08,3.10619E-07,0.00000001,0.00000001,0.00000001,9.20547E-07,0.00000001,0.00000001,0.00000001
TETRACOSANE,0.91998908,1.314906502,0.386630143,0.047971672,0.318125237,0.308576175,1.357165505,0.028554402,1.259166735,0.605721259,0.44080052,0.44145108,0.370178333,0.983774441,1.610292045,0,2.743275976,0.958085973,0.645867656,0.209781389,1.357165505,,TETRACOSANE,0.000919989,0.001314907,0.00038663,4.79717E-05,0.000318125,0.000308576,0.001357166,2.85544E-05,0.001259167,0.000605721,0.000440801,0.000441451,0.000370178,0.000983774,0.001610292,0,0.002743276,0.000958086,0.000645868,0.000209781,0.001357166
UNC,0.070293463,0.107363065,0.081858162,0.032675139,0.040795376,0.067203991,0.112783084,0.039320459,0.190428974,0.051730698,0.065161663,0.091348708,0.040255686,0.104049889,0.230302287,0,1.834197675,0.085410198,0.087549745,0.05469768,0.112783084,,UNC,0.000183998,0.000262981,7.7326E-05,9.59434E-06,6.3625E-05,6.17152E-05,0.000271433,5.71089E-06,0.000251833,0.000121144,8.81601E-05,8.82902E-05,7.40357E-05,0.000196755,0.000322058,0.00000001,0.000548655,0.000191617,0.000129174,4.19563E-05,0.000271433
PENTACOSANE,0.460088121,0.746998243,0,0,0.184156469,0.343156135,0.882305085,0,1.32582067,0.25251007,0,0.396099046,0.105155583,0.870794588,0.612709173,0,0,0.575087024,0.407020091,0,0.882305085,,PENTACOSANE,0.000460088,0.000746998,0,0,0.000184156,0.000343156,0.000882305,0,0.001325821,0.00025251,0,0.000396099,0.000105156,0.000870795,0.000612709,0,0,0.000575087,0.00040702,0,0.000882305
UNC,0.039002039,0.064450783,0,0,0.021356467,0.071388587,0.07525217,0,0.210979786,0.017301591,0,0.078000555,0.013149181,0.102017369,0.07368077,0,0,0.054284795,0.092476864,0,0.07525217,,UNC,9.20176E-05,0.0001494,0.00000001,0.00000001,3.68313E-05,6.86312E-05,0.000176461,0.00000001,0.000265164,5.0502E-05,0.00000001,7.92198E-05,2.10311E-05,0.000174159,0.000122542,0.00000001,0.00000001,0.000115017,8.1404E-05,0.00000001,0.000176461
HEXACOSANE,0.241443014,0.392006441,0,0,0.070395559,0.284007585,0.064537489,0,0.964565475,0.10147967,0,0.397452228,0.051301577,0.605962034,0.243053846,0,0,0.207958403,0,0,0.064537489,,HEXACOSANE,0.000241443,0.000392006,0,0,7.03956E-05,0.000284008,6.45375E-05,0,0.000964565,0.00010148,0,0.000397452,5.13016E-05,0.000605962,0.000243054,0,0,0.000207958,0,0,6.45375E-05
UNC,0.034611928,0.05654765,0,0,0.017692463,0.078135443,0.013659076,0,0.190694971,0.01153828,0,0.081066445,0.013625034,0.099609864,0.03394984,0,0,0.034342369,0,0,0.013659076,,UNC,4.82886E-05,7.84013E-05,0.00000001,0.00000001,1.40791E-05,5.68015E-05,1.29075E-05,0.00000001,0.000192913,2.02959E-05,0.00000001,7.94904E-05,1.02603E-05,0.000121192,4.86108E-05,0.00000001,0.00000001,4.15917E-05,0.00000001,0.00000001,1.29075E-05
HEPTACOSANE,0.16564318,0.268937968,0,0,0,0,0,0,0.632283844,0.019416904,0,0.46745205,0,0.38412294,0.090322373,0,0,0.068713862,0,0,0,,HEPTACOSANE,0.000165643,0.000268938,0,0,0,0,0,0,0.000632284,1.94169E-05,0,0.000467452,0,0.000384123,9.03224E-05,0,0,6.87139E-05,0,0,0
UNC,0.039841168,0.064830181,0,0,0,0,0,0,0.187010757,0.003813661,0,0.097803439,0,0.107113405,0.020452214,0,0,0.027106862,0,0,0,,UNC,3.31286E-05,5.37876E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.000126457,3.88339E-06,0.00000001,9.34904E-05,0.00000001,7.68246E-05,1.80645E-05,0.00000001,0.00000001,1.37428E-05,0.00000001,0.00000001,0.00000001
OCTACOSANE,0.110006803,0.178606847,0,0,0,0.077440067,0,0,0.535948434,0.005528938,0,0.500187933,0,0.325597579,0.03758006,0,0,0,0,0,0,,OCTACOSANE,0.000110007,0.000178607,0,0,0,7.74401E-05,0,0,0.000535948,5.52894E-06,0,0.000500188,0,0.000325598,3.75801E-05,0,0,0,0,0,0
UNC,0.037096149,0.060297553,0,0,0,0.028970625,0,0,0.175652918,0.002458873,0,0.104857896,0,0.101768529,0.016895983,0,0,0,0,0,0,,UNC,2.20014E-05,3.57214E-05,0.00000001,0.00000001,0.00000001,1.5488E-05,0.00000001,0.00000001,0.00010719,1.10583E-06,0.00000001,0.000100038,0.00000001,6.51195E-05,7.51602E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
ISO-NONACOSANE,0,0,0,0,0,0,0,0,0,0,0,0.020334743,0,0,0,0,0,0,0,0,0,,ISO-NONACOSANE,0,0,0,0,0,0,0,0,0,0,0,2.03347E-05,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0.004535443,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,4.06696E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
SQUALENE,3.862315537,0,0,0,0,0,0,0,0,0,7.921093542,0,0,0,0,0,0,0,0,14.31164807,0,,SQUALENE,0.003862316,0,0,0,0,0,0,0,0,0,0.007921094,0,0,0,0,0,0,0,0,0.014311648,0
UNC,1.31726139,0,0,0,0,2.152216763,0,0,0,0,2.744934682,0,0,0,0,0,0,0,0,5.135930989,0,,UNC,0.000772463,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.001584219,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00286233,0.00000001
NONACOSANE,0.095656669,0.155307995,0,0,0,0,0,0,0.422411851,0,0,0.459318104,0,0.256622218,0,0,0,0,0,0,0,,NONACOSANE,9.56567E-05,0.000155308,0,0,0,0,0,0,0.000422412,0,0,0.000459318,0,0.000256622,0,0,0,0,0,0,0
UNC,0.036315556,0.059014639,0,0,0,0,0,0,0.166725289,0,0,0.096605214,0,0.098077093,0,0,0,0,0,0,0,,UNC,1.91313E-05,3.10616E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,8.44824E-05,0.00000001,0.00000001,9.18636E-05,0.00000001,5.13244E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
