,"NORMALIZED TO OC, WEIGHTED BY EMISSION RATE",,,,,,,,,,,,,,,,,,,,,,,MG/MG OC ALL,,,,,,,,,,,,,,,,,,,,
DIBUTYL PHTHALATE,0.055245437,0.089696392,0,0,0.003756655,3.82476853,0,0,3.872658902,0.049205075,0,0,0.954748523,0,0.312452116,0,0,0.036281528,0,0,0,,DIBUTYL PHTHALATE,5.52454E-05,8.96964E-05,0,0,3.75666E-06,0.003824769,0,0,0.003872659,4.92051E-05,0,0,0.000954749,0,0.000312452,0,0,3.62815E-05,0,0,0
UNC,0.022332132,0.036287033,0,0,0.001439509,0.764800878,0,0,0.678923187,0.019338167,0,0,0.13863861,0,0.132816868,0,0,0.008860813,0,0,0,,UNC,1.10491E-05,1.79393E-05,0.00000001,0.00000001,7.51398E-07,0.000764954,0.00000001,0.00000001,0.000774532,9.84102E-06,0.00000001,0.00000001,0.00019095,0.00000001,6.24904E-05,0.00000001,0.00000001,7.25631E-06,0.00000001,0.00000001,0.00000001
BIS(2-ETHYLHEXYL)PHTHALATE,3.649721178,0,0,0,0,0,0,0,0,0,7.485090893,0,0,0,0,0,0,0,0,13.5238886,0,,BIS(2-ETHYLHEXYL)PHTHALATE,0.003649721,0,0,0,0,0,0,0,0,0,0.007485091,0,0,0,0,0,0,0,0,0.013523889,0
UNC,0.73420735,0,0,0,0,0,0,0,0,0,1.574301067,0,0,0,0,0,0,0,0,3.111474576,0,,UNC,0.000729944,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.001497018,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.002704778,0.00000001
FLUORANTHENE,1.431166305,2.082203769,0.670253881,0.838883118,0.397989231,0.228806223,0.119553991,0.089339156,0.669828084,1.30634986,0.381095202,0.144610639,0.693910204,0.896784728,1.471628968,3.551426295,5.876343432,1.581214231,0.350904408,0.439261907,0.119553991,,FLUORANTHENE,0.001431166,0.002082204,0.000670254,0.000838883,0.000397989,0.000228806,0.000119554,8.93392E-05,0.000669828,0.00130635,0.000381095,0.000144611,0.00069391,0.000896785,0.001471629,0.003551426,0.005876343,0.001581214,0.000350904,0.000439262,0.000119554
UNC,0.083000339,0.1292698,0.085322456,0.141867483,0.043307355,0.05051807,0.060190424,0.05277627,0.100031198,0.077592875,0.037696177,0.03300199,0.055691485,0.084166036,0.179425322,0.819560544,2.586711503,0.14741429,0.042623049,0.064919082,0.060190424,,UNC,0.000286233,0.000416441,0.000134051,0.000167777,7.95978E-05,4.57612E-05,2.39108E-05,1.78678E-05,0.000133966,0.00026127,7.6219E-05,2.89221E-05,0.000138782,0.000179357,0.000294326,0.000710285,0.001175269,0.000316243,7.01809E-05,8.78524E-05,2.39108E-05
ACEPHENANTHRYLENE,0.09084856,0.109456299,0.013792168,0.021254203,0.031024411,0.005030166,0.086769834,1.94129E-05,0.040164279,0.064451213,0.0480573,0.002766698,0.050623835,0.025744921,0.068329583,0.060392719,0,0.326081836,0.099626257,0,0.086769834,,ACEPHENANTHRYLENE,9.08486E-05,0.000109456,1.37922E-05,2.12542E-05,3.10244E-05,5.03017E-06,8.67698E-05,1.94129E-08,4.01643E-05,6.44512E-05,4.80573E-05,2.7667E-06,5.06238E-05,2.57449E-05,6.83296E-05,6.03927E-05,0,0.000326082,9.96263E-05,0,8.67698E-05
UNC,0.005621737,0.007168696,0.002695172,0.004670454,0.00331044,0.003301363,0.007153316,0.00447888,0.006636727,0.004088268,0.006053848,0.001636823,0.004484401,0.002651905,0.008537782,0.015509543,0.015684315,0.02625725,0.012020932,0,0.007153316,,UNC,1.81697E-05,2.18913E-05,2.75845E-06,4.25085E-06,6.20489E-06,1.00608E-06,1.7354E-05,1.07273E-08,8.03286E-06,1.28902E-05,9.61147E-06,5.5343E-07,1.01248E-05,5.14899E-06,1.36659E-05,1.20785E-05,0.00000001,6.52164E-05,1.99253E-05,0.00000001,1.7354E-05
PYRENE,3.249270416,4.284253763,1.516239567,1.40880903,0.787321093,0.424887274,0.269060563,0.162690422,1.45806764,2.599109089,1.616160271,0.219403069,1.544118171,1.716560833,3.539140877,7.479401404,10.65287173,2.797626911,0.831903636,1.77920361,0.269060563,,PYRENE,0.00324927,0.004284254,0.00151624,0.001408809,0.000787321,0.000424887,0.000269061,0.00016269,0.001458068,0.002599109,0.00161616,0.000219403,0.001544118,0.001716561,0.003539141,0.007479401,0.010652872,0.002797627,0.000831904,0.001779204,0.000269061
UNC,0.199480827,0.284609744,0.194841922,0.250258461,0.085647549,0.082788158,0.14797855,0.070424857,0.227166527,0.164042722,0.175008804,0.049218284,0.130444009,0.174679282,0.435885147,1.818907817,4.757922569,0.255229434,0.121237384,0.284214371,0.14797855,,UNC,0.000649854,0.000856851,0.000303248,0.000281762,0.000157464,8.49775E-05,5.38121E-05,3.25381E-05,0.000291614,0.000519822,0.000323232,4.38806E-05,0.000308824,0.000343312,0.000707828,0.00149588,0.002130574,0.000559525,0.000166381,0.000355841,5.38121E-05
BENZ(A)ANTHRACENE,0.053162842,0.084032378,0.010172425,0.015676054,0.02985161,0.007303922,0.020027109,0,0.009475735,0.057857319,0.002883438,0.011233204,0.035697659,0.045968001,0.069604082,0,0.147974841,0.050576092,0.029887877,0,0.020027109,,BENZ(A)ANTHRACENE,5.31628E-05,8.40324E-05,1.01724E-05,1.56761E-05,2.98516E-05,7.30392E-06,2.00271E-05,0,9.47573E-06,5.78573E-05,2.88344E-06,1.12332E-05,3.56977E-05,4.5968E-05,6.96041E-05,0,0.000147975,5.05761E-05,2.98879E-05,0,2.00271E-05
UNC,0.006978548,0.011359796,0.003640486,0.005827131,0.006428552,0.004669635,0.019752001,0.005767708,0.004748326,0.006719938,0.000766522,0.003559301,0.006605898,0.007786928,0.019184589,0.008697259,0.077302439,0.008417118,0.007871295,0,0.019752001,,UNC,1.06326E-05,1.68065E-05,2.03451E-06,3.13523E-06,5.97033E-06,1.46082E-06,4.00543E-06,0.00000001,1.89517E-06,1.15715E-05,5.76774E-07,2.24666E-06,7.13954E-06,9.19361E-06,1.39208E-05,0.00000001,2.9595E-05,1.01152E-05,5.97758E-06,0.00000001,4.00543E-06
CHRYSENE,0.158945603,0.235554382,0.064287351,0.099069006,0.06278077,0.07165284,0.03727967,0.051656204,0.188929232,0.139186925,0.02843302,0.021806603,0.078586229,0.1713364,0.176840214,0.395808705,0.418388032,0.103954992,0.049813128,0.035585064,0.03727967,,CHRYSENE,0.000158946,0.000235554,6.42874E-05,9.9069E-05,6.27808E-05,7.16528E-05,3.72797E-05,5.16562E-05,0.000188929,0.000139187,2.8433E-05,2.18066E-05,7.85862E-05,0.000171336,0.00017684,0.000395809,0.000418388,0.000103955,4.98131E-05,3.55851E-05,3.72797E-05
UNC,0.010869416,0.017248117,0.011413604,0.020211312,0.008171406,0.017159322,0.010363688,0.020745421,0.02901435,0.00972765,0.003548301,0.0068837,0.008112817,0.015715899,0.027531141,0.099932291,0.19536011,0.009239674,0.007297054,0.006312271,0.010363688,,UNC,3.17891E-05,4.71109E-05,1.28575E-05,1.98138E-05,1.25562E-05,1.43306E-05,7.45594E-06,1.03312E-05,3.77858E-05,2.78374E-05,5.68661E-06,4.36133E-06,1.57172E-05,3.42673E-05,3.5368E-05,7.91617E-05,8.36776E-05,2.0791E-05,9.96263E-06,7.11702E-06,7.45594E-06
TRIDECYLCYCLOHEXANE,0.34276324,0.147415407,0.227581719,0,0.043508233,0.014488707,0.194980023,0,0,0.092677834,0.654366768,0.036544122,0.124954551,0.017376521,0.244482525,0,1.009918356,0.227219227,0.129275619,0.806077178,0.194980023,,TRIDECYLCYCLOHEXANE,0.000342763,0.000147415,0.000227582,0,4.35082E-05,1.44887E-05,0.00019498,0,0,9.26778E-05,0.000654367,3.65441E-05,0.000124955,1.73765E-05,0.000244483,0,0.001009918,0.000227219,0.000129276,0.000806077,0.00019498
UNC,0.037521325,0.015364557,0.051466614,0.013817087,0.008472126,0.015043829,0.019378793,0.020766942,0.013646629,0.009158539,0.088488462,0.011233894,0.01932109,0.006535442,0.039740465,0.031314952,0.457945492,0.03128891,0.028555937,0.153950167,0.019378793,,UNC,6.85526E-05,2.94831E-05,4.55163E-05,0.00000001,8.70165E-06,2.89776E-06,3.8996E-05,0.00000001,0.00000001,1.85356E-05,0.000130873,7.30883E-06,2.49909E-05,3.47532E-06,4.88965E-05,0.00000001,0.000201984,4.54438E-05,2.58551E-05,0.000161215,3.8996E-05
PENTADECYLCYCLOHEXANE,0.24597865,0.14380479,0.260005743,0.013101102,0.059548562,0.008369441,0.193126372,0,0,0.097932331,0.474900807,0.068388558,0.114955288,0.058074077,0.186073784,0,1.222738111,0.178345225,0.143157887,0.521082184,0.193126372,,PENTADECYLCYCLOHEXANE,0.000245979,0.000143805,0.000260006,1.31011E-05,5.95486E-05,8.36944E-06,0.000193126,0,0,9.79323E-05,0.000474901,6.83886E-05,0.000114955,5.80741E-05,0.000186074,0,0.001222738,0.000178345,0.000143158,0.000521082,0.000193126
UNC,0.029026175,0.016738967,0.057310745,0.024772734,0.014035947,0.026300823,0.022881137,0.036947923,0.024279675,0.011034576,0.069251842,0.018793981,0.020776862,0.012221418,0.03084631,0.055714626,0.564064346,0.017903792,0.030909424,0.11057659,0.022881137,,UNC,4.91957E-05,2.8761E-05,5.20011E-05,2.62024E-06,1.19097E-05,1.67392E-06,3.86253E-05,0.00000001,0.00000001,1.95865E-05,9.49802E-05,1.36777E-05,2.29911E-05,1.16148E-05,3.72148E-05,0.00000001,0.000244548,3.5669E-05,2.86316E-05,0.000104216,3.86253E-05
HEXADECYLCYCLOHEXANE,0.115907515,0.089878575,0.098206364,0.006992797,0.044942449,0.002967401,0.203232524,0,0,0.061236785,0.180819433,0.044910449,0.050011237,0.034619243,0.072653343,0,1.013826163,0.132731098,0.10935123,0.192539594,0.203232524,,HEXADECYLCYCLOHEXANE,0.000115908,8.98786E-05,9.82064E-05,6.9928E-06,4.49424E-05,2.9674E-06,0.000203233,0,0,6.12368E-05,0.000180819,4.49104E-05,5.00112E-05,3.46192E-05,7.26533E-05,0,0.001013826,0.000132731,0.000109351,0.00019254,0.000203233
UNC,0.01557173,0.013030791,0.030243199,0.021068187,0.011718977,0.022409494,0.022625844,0.031547726,0.02073103,0.008686857,0.032857282,0.014181936,0.012627085,0.009910119,0.020163065,0.047571544,0.468516645,0.011980007,0.020610775,0.051492036,0.022625844,,UNC,2.31815E-05,1.79757E-05,1.96413E-05,1.3986E-06,8.9885E-06,5.93564E-07,4.06465E-05,0.00000001,0.00000001,1.22474E-05,3.61639E-05,8.9821E-06,1.00023E-05,6.92386E-06,1.45307E-05,0.00000001,0.000202765,2.65462E-05,2.18702E-05,3.85079E-05,4.06465E-05
HEPTADECYLCYCLOHEXANE,0.051729796,0.064885658,0.026102887,0,0.029977006,0.000196295,0.207642215,0,0,0.040342551,0.039913795,0.020889666,0.026506649,0.016252344,0.046255937,0,0.829589224,0.094279092,0.089791838,0,0.207642215,,HEPTADECYLCYCLOHEXANE,5.17298E-05,6.48857E-05,2.61029E-05,0,2.9977E-05,1.96295E-07,0.000207642,0,0,4.03426E-05,3.99138E-05,2.08897E-05,2.65066E-05,1.62523E-05,4.62559E-05,0,0.000829589,9.42791E-05,8.97918E-05,0,0.000207642
UNC,0.009246579,0.009726513,0.01813148,0.015655115,0.008609639,0.016698876,0.02240033,0.023523082,0.015457778,0.006389883,0.017026953,0.009220355,0.008514179,0.007189515,0.01452302,0.035470999,0.381415893,0.008190614,0.015551077,0.025077231,0.02240033,,UNC,1.0346E-05,1.29771E-05,5.22059E-06,0.00000001,5.99541E-06,4.05125E-08,4.15284E-05,0.00000001,0.00000001,8.06852E-06,7.98277E-06,4.17795E-06,5.30134E-06,3.25048E-06,9.25119E-06,0.00000001,0.000165918,1.88558E-05,1.79584E-05,0.00000001,4.15284E-05
OCTADECYLCYCLOHEXANE,0.035448863,0.041299009,0.025936004,0,0.023838082,0,0.16140088,0,0,0.026669715,0.036216608,0.011515958,0.022463887,0.005629869,0.017886826,0,0.658362638,0.078819667,0.083021881,0,0.16140088,,OCTADECYLCYCLOHEXANE,3.54489E-05,4.1299E-05,2.5936E-05,0,2.38381E-05,0,0.000161401,0,0,2.66697E-05,3.62166E-05,1.1516E-05,2.24639E-05,5.62987E-06,1.78868E-05,0,0.000658363,7.88197E-05,8.30219E-05,0,0.000161401
UNC,0.002783548,0.003608762,0.004340668,0,0.002364099,0,0.016046665,0,0,0.00207585,0.004356601,0.002343755,0.002311315,0.000666768,0.002749376,0,0.294054039,0.006258978,0.012161757,0,0.016046665,,UNC,7.08978E-06,8.25981E-06,5.18721E-06,0.00000001,4.76763E-06,0.00000001,3.22802E-05,0.00000001,0.00000001,5.33395E-06,7.24333E-06,2.30321E-06,4.49279E-06,1.12602E-06,3.57738E-06,0.00000001,0.000131673,1.57639E-05,1.66044E-05,0.00000001,3.22802E-05
NONADECYLCYCLOHEXANE,0.004276733,0.006943697,0,0,0.002830276,0,0.075313673,0,0,0.002690134,0,0,0,0,0.01828478,0,0,0,0,0,0.075313673,,NONADECYLCYCLOHEXANE,4.27673E-06,6.9437E-06,0,0,2.83028E-06,0,7.53137E-05,0,0,2.69013E-06,0,0,0,0,1.82848E-05,0,0,0,0,0,7.53137E-05
UNC,0.000389791,0.000642621,0,0,0.000444654,0,0.007676485,0,0,0.000289209,0,0,0,0,0.002306696,0,0,0,0,0,0.007676485,,UNC,8.55405E-07,1.38878E-06,0.00000001,0.00000001,5.66144E-07,0.00000001,1.50627E-05,0.00000001,0.00000001,5.3812E-07,0.00000001,0.00000001,0.00000001,0.00000001,3.65697E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,1.50627E-05
BENZO(B)FLUORANTHENE,0.019160674,0.031109236,0.006073796,0.009359927,0.021648563,0.009277804,0.009094916,0.007080616,0,0.027622462,0,0.007251157,0.00131793,0.026579964,0.09595927,0,0,0.035864153,0.068631421,0,0.009094916,,BENZO(B)FLUORANTHENE,1.91607E-05,3.11092E-05,6.0738E-06,9.35993E-06,2.16486E-05,9.2778E-06,9.09492E-06,7.08062E-06,0,2.76225E-05,0,7.25116E-06,1.31793E-06,2.658E-05,9.59593E-05,0,0,3.58642E-05,6.86314E-05,0,9.09492E-06
UNC,0.003791693,0.00617644,0.001788864,0.002912779,0.003266584,0.002913889,0.008236342,0.002639191,0,0.003666882,0,0.001845743,0.000289001,0.003631053,0.02281987,0,0,0.008109692,0.019435206,0,0.008236342,,UNC,3.83215E-06,6.22186E-06,1.2148E-06,1.87201E-06,4.32972E-06,1.85559E-06,1.81901E-06,1.41616E-06,0.00000001,5.5245E-06,0.00000001,1.45027E-06,2.63776E-07,5.316E-06,1.91919E-05,0.00000001,0.00000001,7.17284E-06,1.37263E-05,0.00000001,1.81901E-06
BENZO(K)FLUORANTHENE,0.029243063,0.047478985,0.007288555,0.011231912,0.024133054,0.012157123,0.016565982,0,0,0.038372239,0,0.007681961,0.000515999,0.051708848,0.126658005,0,0,0.029882657,0,0,0.016565982,,BENZO(K)FLUORANTHENE,2.92431E-05,4.7479E-05,7.28855E-06,1.12319E-05,2.41331E-05,1.21571E-05,1.6566E-05,0,0,3.83722E-05,0,7.68196E-06,5.15999E-07,5.17088E-05,0.000126658,0,0,2.98827E-05,0,0,1.6566E-05
UNC,0.004447021,0.007260354,0.001809602,0.003008463,0.003621425,0.003296814,0.002707609,0,0,0.004327931,0,0.001897302,0.000134045,0.00696318,0.024900574,0,0,0.005527706,0,0,0.002707609,,UNC,5.84862E-06,9.4958E-06,1.45775E-06,2.2464E-06,4.82662E-06,2.43145E-06,3.31321E-06,0.00000001,0.00000001,7.67445E-06,0.00000001,1.53642E-06,1.03683E-07,1.03418E-05,2.53316E-05,0.00000001,0.00000001,5.97654E-06,0.00000001,0.00000001,3.31321E-06
BENZO(J)FLUORANTHENE,0.000783462,0.001272027,0.001700663,0.002620779,0.000515397,0,0,0,0,0.001309084,0,0.002046601,0,0.001960558,0,0,0,0.007594306,0,0,0,,BENZO(J)FLUORANTHENE,7.83462E-07,1.27203E-06,1.70066E-06,2.62078E-06,5.15397E-07,0,0,0,0,1.30908E-06,0,2.0466E-06,0,1.96056E-06,0,0,0,7.59431E-06,0,0,0
UNC,0.000179743,0.000292545,0.00042224,0.000701975,0.000123569,0,0,0,0,0.000196787,0,0.000514485,0,0.000355093,0,0,0,0.001734054,0,0,0,,UNC,1.57011E-07,2.54602E-07,3.4028E-07,5.24251E-07,1.03563E-07,0.00000001,0.00000001,0.00000001,0.00000001,2.62008E-07,0.00000001,4.09442E-07,0.00000001,3.92239E-07,0.00000001,0.00000001,0.00000001,1.51889E-06,0.00000001,0.00000001,0.00000001
BENZO(E)PYRENE,0.041312834,0.067075442,0.008098394,0.012479902,0.022382297,0,0.021275486,0,0,0.045798532,0,0.006983367,0.013323822,0.022851142,0.146441499,0,0,0.062396224,0.046492253,0,0.021275486,,BENZO(E)PYRENE,4.13128E-05,6.70754E-05,8.09839E-06,1.24799E-05,2.23823E-05,0,2.12755E-05,0,0,4.57985E-05,0,6.98337E-06,1.33238E-05,2.28511E-05,0.000146441,0,0,6.23962E-05,4.64923E-05,0,2.12755E-05
UNC,0.005062821,0.008290319,0.002010669,0.003342737,0.003116384,0,0.004649705,0,0,0.004750623,0,0.001607284,0.002576152,0.00315214,0.026467346,0,0,0.011441912,0.010912539,0,0.004649705,,UNC,8.26257E-06,1.34151E-05,1.61971E-06,2.496E-06,4.47647E-06,0.00000001,4.25511E-06,0.00000001,0.00000001,9.15971E-06,0.00000001,1.39671E-06,2.66478E-06,4.57024E-06,2.92883E-05,0.00000001,0.00000001,1.24792E-05,9.29846E-06,0.00000001,4.25511E-06
BENZO(A)PYRENE,0.006863297,0.011143237,0,0,0.001510647,0,0.011051328,0,0,0.006206972,0,0.006029651,0,0.001803635,0.030412006,0,0,0.01291032,0,0,0.011051328,,BENZO(A)PYRENE,6.8633E-06,1.11432E-05,0,0,1.51065E-06,0,1.10513E-05,0,0,6.20697E-06,0,6.02965E-06,0,1.80364E-06,3.0412E-05,0,0,1.29103E-05,0,0,1.10513E-05
UNC,0.002247512,0.003653445,0,0,0.000640466,0,0.004069595,0,0,0.001959125,0,0.001977965,0,0.000758462,0.012885744,0,0,0.00539157,0,0,0.004069595,,UNC,1.3727E-06,2.22867E-06,0.00000001,0.00000001,3.02295E-07,0.00000001,2.21029E-06,0.00000001,0.00000001,1.24143E-06,0.00000001,1.20597E-06,0.00000001,3.60866E-07,6.08241E-06,0.00000001,0.00000001,2.58208E-06,0.00000001,0.00000001,2.21029E-06
PERYLENE,0,0,0,0,3.55446E-05,0,0,0,0,1.36756E-05,0,0.000432592,0,4.24385E-05,0,0,0,0,0,0,0,,PERYLENE,0,0,0,0,3.55446E-08,0,0,0,0,1.36756E-08,0,4.32592E-07,0,4.24385E-08,0,0,0,0,0,0,0
UNC,0,0,0,0,8.522E-06,0,0,0,0,3.14547E-06,0,0.000123796,0,9.91365E-06,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,1.22693E-08,0.00000001,0.00000001,0.00000001,0.00000001,1.03673E-08,0.00000001,8.70945E-08,0.00000001,1.31164E-08,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
INDENO(CD)PYRENE,0.000169183,0.000274686,0,0,0,0,0,0,0,0.000146259,0,0.002780951,0,0.000453875,0,0,0,0,0,0,0,,INDENO(CD)PYRENE,1.69183E-07,2.74686E-07,0,0,0,0,0,0,0,1.46259E-07,0,2.78095E-06,0,4.53875E-07,0,0,0,0,0,0,0
UNC,1.88423E-05,3.0909E-05,0,0,0,0,9.14686E-05,0,0,1.62668E-05,0,0.000565574,0,5.37719E-05,0,0,0,0,0,0,9.14686E-05,,UNC,3.52834E-08,5.58399E-08,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,3.09139E-08,0.00000001,5.5628E-07,0.00000001,9.13242E-08,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
DIBENZ(AH)ANTHRACENE,0,0,0,0,0,0,0,0,0,0,0,0.000108148,0,0,0,0,0,0,0,0,0,,DIBENZ(AH)ANTHRACENE,0,0,0,0,0,0,0,0,0,0,0,1.08148E-07,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,3.37683E-05,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2.38294E-08,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
BENZO(GHI)PERYLENE,0.00897865,0.014577719,0,0,0.000561034,0,0.007179721,0,0,0.007778087,0,0.007811004,0,0.002134625,0.048192019,0,0,0,0,0,0.007179721,,BENZO(GHI)PERYLENE,8.97865E-06,1.45777E-05,0,0,5.61034E-07,0,7.17972E-06,0,0,7.77809E-06,0,7.811E-06,0,2.13463E-06,4.8192E-05,0,0,0,0,0,7.17972E-06
UNC,0.002449078,0.003983209,0.003679555,0.00567032,0.002929722,0.006048807,0.002396748,0.008522434,0.005600367,0.002488418,0,0.003429498,0.002417666,0.002551088,0.011164103,0.012851174,0.029860523,0,0,0,0.002396748,,UNC,1.79576E-06,2.91556E-06,0.00000001,0.00000001,1.12652E-07,0.00000001,1.43598E-06,0.00000001,0.00000001,1.55565E-06,0.00000001,1.56223E-06,0.00000001,4.27042E-07,9.63841E-06,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,1.43598E-06
CORONENE,0,0,0,0,0,0,0,0,0,0,0,0.002317459,0,0,0,0,0,0,0,0,0,,CORONENE,0,0,0,0,0,0,0,0,0,0,0,2.31746E-06,0,0,0,0,0,0,0,0,0
UNC,3.57371E-05,5.80227E-05,0,0,0,0,0.001110093,0,0,0,0,0.000855695,0,0,0,0,0,0,0,0,0.001110093,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,4.636E-07,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
glycerine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,glycerine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unc,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
mono-palmitin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mono-palmitin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unc,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
mono-olein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mono-olein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unc,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
mono-stearin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mono-stearin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unc,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
stigmasterol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,stigmasterol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unc,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
